product,first_addr,second_addr,third_addr,first_areaid,second_areaid,third_areaid,fenci,area_label,prod_label
新长发糖炒栗子,上海,市辖区,虹口区,31,3101,310109,新 长发 糖 炒栗子,,新长发糖炒栗子
松仁鱼米,上海,市辖区,虹口区,31,3101,310109,松仁 鱼米,松仁,松仁鱼米
炝虾,上海,市辖区,虹口区,31,3101,310109,炝 虾,,炝虾
百花竹荪鱼翅卷,上海,市辖区,虹口区,31,3101,310109,百花 竹荪 鱼翅 卷,百花,竹荪鱼翅卷
蛤蚧当归炖草鸡,上海,市辖区,虹口区,31,3101,310109,蛤蚧 当归 炖 草鸡,蛤蚧,当归炖草鸡
鼓汁凤爪,上海,市辖区,虹口区,31,3101,310109,鼓汁 凤爪,鼓汁,鼓汁凤爪
上海阳春面,上海,市辖区,金山区,31,3101,310116,上海 阳春面,上海,阳春面
八珍鱼头,上海,市辖区,金山区,31,3101,310116,八珍 鱼头,八珍,八珍鱼头
吴越豆腐,上海,市辖区,金山区,31,3101,310116,吴越 豆腐,吴越,吴越豆腐
施泉葡萄,上海,市辖区,金山区,31,3101,310116,施泉 葡萄,施泉,施泉葡萄
枫泾丁蹄,上海,市辖区,金山区,31,3101,310116,枫泾丁蹄,,枫泾丁蹄
枫泾状元糕,上海,市辖区,金山区,31,3101,310116,枫泾状元糕,,枫泾状元糕
枫泾黄酒,上海,市辖区,金山区,31,3101,310116,枫 泾 黄酒,,枫泾黄酒
栗子糕,上海,市辖区,金山区,31,3101,310116,栗子 糕,,栗子糕
马兰干烧肉,上海,市辖区,金山区,31,3101,310116,马兰 干 烧肉,马兰,干烧肉
三鲜馄饨,上海,市辖区,长宁区,31,3101,310105,三鲜 馄饨,三鲜,三鲜馄饨
上海崩瓜,上海,市辖区,长宁区,31,3101,310105,上海 崩瓜,上海,上海崩瓜
上海玉雕,上海,市辖区,长宁区,31,3101,310105,上海 玉雕,上海,上海玉雕
冻豆,上海,市辖区,长宁区,31,3101,310105,冻豆,,冻豆
四喜烤麸,上海,市辖区,长宁区,31,3101,310105,四喜 烤麸,四喜,四喜烤麸
如意鸭卷鲜,上海,市辖区,长宁区,31,3101,310105,如意 鸭卷 鲜,如意,鸭卷鲜
小绍兴鸡粥,上海,市辖区,长宁区,31,3101,310105,小绍兴 鸡 粥,小绍兴,鸡粥
烘山芋,上海,市辖区,长宁区,31,3101,310105,烘 山芋,,烘山芋
熏拉丝,上海,市辖区,长宁区,31,3101,310105,熏 拉丝,,熏拉丝
糖醋带鱼,上海,市辖区,长宁区,31,3101,310105,糖醋 带鱼,糖醋,糖醋带鱼
许四海制壶,上海,市辖区,长宁区,31,3101,310105,许 四海 制壶,,许四海制壶
黄鱼煨面,上海,市辖区,长宁区,31,3101,310105,黄鱼 煨 面,黄鱼,黄鱼煨面
七宝方糕,上海,市辖区,闵行区,31,3101,310112,七宝 方糕,七宝,七宝方糕
七宝糟肉,上海,市辖区,闵行区,31,3101,310112,七宝 糟肉,七宝,七宝糟肉
七宝红烧羊肉,上海,市辖区,闵行区,31,3101,310112,七宝 红烧羊肉,七宝,红烧羊肉
七宝老酒,上海,市辖区,闵行区,31,3101,310112,七宝 老酒,七宝,七宝老酒
