product,shangbiao_sign,nongchanpin_sign,baohu_sign,dili_sign,first_addr,second_addr,third_addr,first_areaid,second_areaid,third_areaid,len,area_label,prod_label,,,
扎兰屯沙果,0,1,0,1,内蒙古,呼伦贝尔,扎兰屯市,15,1507,150783,5,扎兰屯,沙果,3,2,5
扎兰屯白瓜籽,0,1,0,1,内蒙古,呼伦贝尔,扎兰屯市,15,1507,150783,6,扎兰屯,白瓜籽,3,3,6
扎兰屯笨鸡,0,1,0,1,内蒙古,呼伦贝尔,扎兰屯市,15,1507,150783,5,扎兰屯,笨鸡,3,2,5
扎兰屯葵花,0,1,0,1,内蒙古,呼伦贝尔,扎兰屯市,15,1507,150783,5,扎兰屯,葵花,3,2,5
扎兰屯黑木耳,0,1,0,1,内蒙古,呼伦贝尔,扎兰屯市,15,1507,150783,6,扎兰屯,黑木耳,3,3,6
呼伦湖白鱼,0,1,0,1,内蒙古,呼伦贝尔,新巴尔虎左旗,15,1507,150726,5,,呼伦湖白鱼,0,5,5
呼伦贝尔蓝莓,0,0,1,1,内蒙古,呼伦贝尔,新巴尔虎左旗,15,1507,150726,6,呼伦贝尔,蓝莓,4,2,6
根河卜留克,0,1,0,1,内蒙古,呼伦贝尔,根河市,15,1507,150785,5,根河,卜留克,2,3,5
根河黑木耳,0,1,0,1,内蒙古,呼伦贝尔,根河市,15,1507,150785,5,根河,黑木耳,2,3,5
呼伦贝尔黑木耳,1,0,0,1,内蒙古,呼伦贝尔,牙克石市,15,1507,150782,7,呼伦贝尔,黑木耳,4,3,7
莫力达瓦大豆,0,1,0,1,内蒙古,呼伦贝尔,莫旗,15,1507,150722,6,,莫力达瓦大豆,0,6,6
莫力达瓦柳蒿芽,0,1,0,1,内蒙古,呼伦贝尔,莫旗,15,1507,150722,7,莫力达瓦,柳蒿芽,4,3,7
莫力达瓦苏子,0,1,0,1,内蒙古,呼伦贝尔,莫旗,15,1507,150722,6,莫力达瓦,苏子,4,2,6
莫力达瓦菇娘,0,1,0,1,内蒙古,呼伦贝尔,莫旗,15,1507,150722,6,莫力达瓦,菇娘,4,2,6
莫力达瓦黄烟,0,1,0,1,内蒙古,呼伦贝尔,莫旗,15,1507,150722,6,莫力达瓦,黄烟,4,2,6
呼伦贝尔油菜籽,0,1,0,1,内蒙古,呼伦贝尔,鄂伦春自治旗,15,1507,150723,7,呼伦贝尔,油菜籽,4,3,7
呼伦贝尔芸豆,0,1,0,1,内蒙古,呼伦贝尔,鄂温克旗,15,1507,150724,6,呼伦贝尔,芸豆,4,2,6
阿荣大豆,0,1,0,1,内蒙古,呼伦贝尔,阿荣旗,15,1507,150721,4,阿荣,大豆,2,2,4
阿荣旗柞蚕,0,1,0,1,内蒙古,呼伦贝尔,阿荣旗,15,1507,150721,5,阿荣旗,柞蚕,3,2,5
阿荣旗白瓜籽,0,1,0,1,内蒙古,呼伦贝尔,阿荣旗,15,1507,150721,6,阿荣旗,白瓜籽,3,3,6
阿荣旗白鹅,0,1,0,1,内蒙古,呼伦贝尔,阿荣旗,15,1507,150721,5,阿荣旗,白鹅,3,2,5
阿荣玉米,0,1,0,1,内蒙古,呼伦贝尔,阿荣旗,15,1507,150721,4,阿荣,玉米,2,2,4
阿荣马铃薯,0,1,0,1,内蒙古,呼伦贝尔,阿荣旗,15,1507,150721,5,阿荣,马铃薯,2,3,5
呼伦湖小白鱼,0,1,0,1,内蒙古,呼伦贝尔,陈巴尔虎旗,15,1507,150725,6,呼伦湖,小白鱼,3,3,6
呼伦湖鲤鱼,0,1,0,1,内蒙古,呼伦贝尔,陈巴尔虎旗,15,1507,150725,5,,呼伦湖鲤鱼,0,5,5
托县彩米,1,0,0,1,内蒙古,呼和浩特,托克托县,15,1501,150122,4,,托县彩米,0,4,4
托县茴香,1,0,0,1,内蒙古,呼和浩特,托克托县,15,1501,150122,4,,托县茴香,0,4,4
托县辣椒,1,0,0,1,内蒙古,呼和浩特,托克托县,15,1501,150122,4,托县,辣椒,2,2,4
武川土豆,1,0,1,1,内蒙古,呼和浩特,武川县,15,1501,150125,4,武川,土豆,2,2,4
武川荞麦,1,0,0,1,内蒙古,呼和浩特,武川县,15,1501,150125,4,武川,荞麦,2,2,4
