product,shangbiao_sign,nongchanpin_sign,baohu_sign,dili_sign,first_addr,second_addr,third_addr,first_areaid,second_areaid,third_areaid,len,area_label,prod_label,,,,
西府牌腊驴肉,0,0,0,0,陕西,宝鸡,凤翔县,61,6103,610322,6,西府,牌腊驴肉,2,4,6,
东城扒糕,0,0,0,0,北京,市辖区,东城区,11,1101,110101,4,东城,扒糕,2,2,4,
马弄口豆腐干,0,0,0,0,上海,市辖区,松江区,31,3101,310117,6,,马弄口豆腐干,0,6,6,
东城月季,0,0,0,0,北京,市辖区,东城区,11,1101,110101,4,东城,月季,2,2,4,
黄浦江大闸蟹,0,0,0,0,上海,市辖区,松江区,31,3101,310117,6,黄浦江,大闸蟹,3,3,6,
上海卤鸭,0,0,0,0,上海,市辖区,浦东新区,31,3101,310115,4,上海,卤鸭,2,2,4,
上海清蒸大闸蟹,0,0,0,0,上海,市辖区,浦东新区,31,3101,310115,7,上海,清蒸大闸蟹,2,5,7,
上海酒酿汤圆,0,0,0,0,上海,市辖区,浦东新区,31,3101,310115,6,上海,酒酿汤圆,2,4,6,
上海锅贴,0,0,0,0,上海,市辖区,浦东新区,31,3101,310115,4,上海,锅贴,2,2,4,
包脚布,0,0,0,0,上海,市辖区,浦东新区,31,3101,310115,3,浦东新区,包脚布,4,3,3,
大团水蜜桃,0,0,0,0,上海,市辖区,浦东新区,31,3101,310115,5,大团,水蜜桃,2,3,5,
小绍兴白斩鸡,0,0,0,0,上海,市辖区,浦东新区,31,3101,310115,6,小绍兴,白斩鸡,3,3,6,
桂花糖藕,0,0,0,0,上海,市辖区,浦东新区,31,3101,310115,4,桂花,糖藕,2,2,4,
浦东三黄鸡,0,0,0,0,上海,市辖区,浦东新区,31,3101,310115,5,浦东,三黄鸡,2,3,5,
浦东白猪,0,0,0,0,上海,市辖区,浦东新区,31,3101,310115,4,浦东,白猪,2,2,4,
东城爆肚,0,0,0,0,北京,市辖区,东城区,11,1101,110101,4,东城,爆肚,2,2,4,
糟田螺,0,0,0,0,上海,市辖区,浦东新区,31,3101,310115,3,浦东新区,糟田螺,4,3,3,
绿波廊船点,0,0,0,0,上海,市辖区,浦东新区,31,3101,310115,5,绿波,廊船点,2,3,5,
罗汉上素,0,0,0,0,上海,市辖区,浦东新区,31,3101,310115,4,罗汉,上素,2,2,4,
虾子豆腐,0,0,0,0,上海,市辖区,浦东新区,31,3101,310115,4,虾子,豆腐,2,2,4,
阳春面,0,0,0,0,上海,市辖区,浦东新区,31,3101,310115,3,浦东新区,阳春面,4,3,3,
鸡肉生煎馒头,0,0,0,0,上海,市辖区,浦东新区,31,3101,310115,6,鸡肉,生煎馒头,2,4,6,
上海梨膏糖,0,0,0,0,上海,市辖区,虹口区,31,3101,310109,5,上海,梨膏糖,2,3,5,
上海猪血扁,0,0,0,0,上海,市辖区,虹口区,31,3101,310109,5,上海,猪血扁,2,3,5,
傻瓜干面,0,0,0,0,上海,市辖区,虹口区,31,3101,310109,4,傻瓜,干面,2,2,4,
全蛋萨其马,0,0,0,0,上海,市辖区,虹口区,31,3101,310109,5,全蛋,萨其马,2,3,5,
叶榭软糕,0,0,0,0,上海,市辖区,虹口区,31,3101,310109,4,叶榭,软糕,2,2,4,
新长发糖炒栗子,0,0,0,0,上海,市辖区,虹口区,31,3101,310109,7,,新长发糖炒栗子,0,7,7,
松仁鱼米,0,0,0,0,上海,市辖区,虹口区,31,3101,310109,4,松仁,鱼米,2,2,4,
房山双麻,0,0,0,0,北京,市辖区,房山区,11,1101,110111,4,房山,双麻,2,2,4,
百花竹荪鱼翅卷,0,0,0,0,上海,市辖区,虹口区,31,3101,310109,7,百花,竹荪鱼翅卷,2,5,7,
蛤蚧当归炖草鸡,0,0,0,0,上海,市辖区,虹口区,31,3101,310109,7,蛤蚧,当归炖草鸡,2,5,7,
鼓汁凤爪,0,0,0,0,上海,市辖区,虹口区,31,3101,310109,4,鼓汁,凤爪,2,2,4,
上海阳春面,0,0,0,0,上海,市辖区,金山区,31,3101,310116,5,上海,阳春面,2,3,5,
八珍鱼头,0,0,0,0,上海,市辖区,金山区,31,3101,310116,4,八珍,鱼头,2,2,4,
吴越豆腐,0,0,0,0,上海,市辖区,金山区,31,3101,310116,4,吴越,豆腐,2,2,4,
施泉葡萄,0,0,0,0,上海,市辖区,金山区,31,3101,310116,4,施泉,葡萄,2,2,4,
枫泾丁蹄,0,0,0,0,上海,市辖区,金山区,31,3101,310116,4,枫泾,丁蹄,2,2,4,
枫泾状元糕,0,0,0,0,上海,市辖区,金山区,31,3101,310116,5,金山,枫泾状元糕,2,5,5,
枫泾黄酒,0,0,0,0,上海,市辖区,金山区,31,3101,310116,4,枫泾,黄酒,2,2,4,
栗子糕,0,0,0,0,上海,市辖区,金山区,31,3101,310116,3,金山,栗子糕,2,3,3,
马兰干烧肉,0,0,0,0,上海,市辖区,金山区,31,3101,310116,5,马兰,干烧肉,2,3,5,
三鲜馄饨,0,0,0,0,上海,市辖区,长宁区,31,3101,310105,4,三鲜,馄饨,2,2,4,
上海崩瓜,0,0,0,0,上海,市辖区,长宁区,31,3101,310105,4,上海,崩瓜,2,2,4,
上海玉雕,0,0,0,0,上海,市辖区,长宁区,31,3101,310105,4,上海,玉雕,2,2,4,
房山菱枣,0,0,0,0,北京,市辖区,房山区,11,1101,110111,4,房山,菱枣,2,2,4,
四喜烤麸,0,0,0,0,上海,市辖区,长宁区,31,3101,310105,4,四喜,烤麸,2,2,4,
如意鸭卷鲜,0,0,0,0,上海,市辖区,长宁区,31,3101,310105,5,如意,鸭卷鲜,2,3,5,
小绍兴鸡粥,0,0,0,0,上海,市辖区,长宁区,31,3101,310105,5,小绍兴,鸡粥,3,2,5,
烘山芋,0,0,0,0,上海,市辖区,长宁区,31,3101,310105,3,长宁,烘山芋,2,3,3,
熏拉丝,0,0,0,0,上海,市辖区,长宁区,31,3101,310105,3,长宁,熏拉丝,2,3,3,
糖醋带鱼,0,0,0,0,上海,市辖区,长宁区,31,3101,310105,4,糖醋,带鱼,2,2,4,
许四海制壶,0,0,0,0,上海,市辖区,长宁区,31,3101,310105,5,,许四海制壶,0,5,5,
黄鱼煨面,0,0,0,0,上海,市辖区,长宁区,31,3101,310105,4,黄鱼,煨面,2,2,4,
七宝方糕,0,0,0,0,上海,市辖区,闵行区,31,3101,310112,4,闵行,七宝方糕,2,4,4,
七宝糟肉,0,0,0,0,上海,市辖区,闵行区,31,3101,310112,4,七宝,糟肉,2,2,4,
七宝红烧羊肉,0,0,0,0,上海,市辖区,闵行区,31,3101,310112,6,七宝,红烧羊肉,2,4,6,
七宝老酒,0,0,0,0,上海,市辖区,闵行区,31,3101,310112,4,七宝,老酒,2,2,4,
三鲜小馄饨,0,0,0,0,上海,市辖区,闵行区,31,3101,310112,5,三鲜,小馄饨,2,3,5,
上海蜜汁火方,0,0,0,0,上海,市辖区,闵行区,31,3101,310112,6,上海,蜜汁火方,2,4,6,
卤味扎肉,0,0,0,0,上海,市辖区,闵行区,31,3101,310112,4,卤味,扎肉,2,2,4,
条头糕薄荷糕,0,0,0,0,上海,市辖区,闵行区,31,3101,310112,6,条头糕,薄荷糕,3,3,6,
油豆腐线粉汤,0,0,0,0,上海,市辖区,闵行区,31,3101,310112,6,油豆腐,线粉汤,3,3,6,
泰康蟹黄汤包,0,0,0,0,上海,市辖区,闵行区,31,3101,310112,6,泰康,蟹黄汤包,2,4,6,
老街汤团,0,0,0,0,上海,市辖区,闵行区,31,3101,310112,4,老街,汤团,2,2,4,
酒酿糟肉,0,0,0,0,上海,市辖区,闵行区,31,3101,310112,4,酒酿,糟肉,2,2,4,
83-1双季茭白,0,0,0,0,江苏,南京,栖霞区,32,3201,320113,8,,83-1双季茭白,0,8,8,
阿合奇白蒜,0,0,0,0,新疆,克州,阿合奇县,65,6530,653023,5,阿合奇,白蒜,3,2,5,
